,Task,Start,Finish,Duration
0,Upgrade Duration Total 0,2023-01-10 04:26:13,2023-01-12 07:22:06,"Duration: 2 days, 2:55:53"
1,Primary Check VM and Inconsistencies 0,2023-01-10 04:26:13,2023-01-10 04:28:46,Duration: 0:02:33
2,Primary Upgrade Side Failed 0,2023-01-10 04:28:52,2023-01-10 05:52:33,Duration: 1:23:41
3,Primary Check VM and Inconsistencies 1,2023-01-10 04:28:52,2023-01-10 04:31:23,Duration: 0:02:31
4,Primary Update VNFR 0,2023-01-10 04:31:34,2023-01-10 04:34:14,Duration: 0:02:40
5,Primary Mop Apply 0,2023-01-10 04:35:03,2023-01-10 04:35:23,Duration: 0:00:20
6,Primary Upgrade 'DB1S1' pre-check 0,2023-01-10 04:35:45,2023-01-10 04:38:10,Duration: 0:02:25
7,Primary Upgrade 'DB1S1' pre-actions 0,2023-01-10 04:38:20,2023-01-10 04:49:13,Duration: 0:10:53
8,Primary Get VNFR Logs 0,2023-01-10 04:50:36,2023-01-10 04:50:58,Duration: 0:00:22
9,Primary Create cloud-init ISO DB1S1 0,2023-01-10 04:51:29,2023-01-10 04:51:52,Duration: 0:00:23
10,Primary Image upload KVM 0,2023-01-10 04:53:03,2023-01-10 04:53:57,Duration: 0:00:54
11,Primary VM Disk Replacement astl5-site2-host41-DB1S1 0,2023-01-10 04:53:59,2023-01-10 04:55:37,Duration: 0:01:38
12,Primary Mop Apply 1,2023-01-10 05:53:23,2023-01-10 05:53:41,Duration: 0:00:18
13,Primary Upgrade Side Repair 0,2023-01-10 08:50:37,2023-01-10 09:28:59,Duration: 0:38:22
14,Primary Create cloud-init ISO None 0,2023-01-10 08:50:45,2023-01-10 08:52:36,Duration: 0:01:51
15,Primary QCOW transfer for all VM 0,2023-01-10 08:52:50,2023-01-10 08:53:49,Duration: 0:00:59
16,Primary Image upload KVM 1,2023-01-10 08:52:52,2023-01-10 08:53:48,Duration: 0:00:56
17,Primary Image upload KVM 2,2023-01-10 08:53:54,2023-01-10 08:54:35,Duration: 0:00:41
18,Primary Post Start 0,2023-01-10 08:55:34,2023-01-10 09:28:59,Duration: 0:33:25
19,Primary Check VM and Inconsistencies 2,2023-01-10 10:12:34,2023-01-10 10:14:59,Duration: 0:02:25
20,Primary Upgrade Side 0,2023-01-10 10:15:05,2023-01-10 13:35:01,Duration: 3:19:56
21,Primary Check VM and Inconsistencies 3,2023-01-10 10:15:05,2023-01-10 10:17:29,Duration: 0:02:24
22,Primary Update VNFR 1,2023-01-10 10:17:39,2023-01-10 10:20:13,Duration: 0:02:34
23,Primary Mop Apply 2,2023-01-10 10:20:29,2023-01-10 10:20:50,Duration: 0:00:21
24,Primary Upgrade 'DB1S1' pre-check0 0,2023-01-10 10:21:12,2023-01-10 10:23:36,Duration: 0:02:24
25,Primary Upgrade 'DB1S1' pre-actions1 0,2023-01-10 10:23:48,2023-01-10 10:34:46,Duration: 0:10:58
26,Primary Get VNFR Logs 1,2023-01-10 10:36:03,2023-01-10 10:36:39,Duration: 0:00:36
27,Primary Create cloud-init ISO DB1S1 1,2023-01-10 10:37:10,2023-01-10 10:37:32,Duration: 0:00:22
28,Primary VM Disk Replacement astl5-site2-host41-DB1S1 1,2023-01-10 10:38:46,2023-01-10 10:40:38,Duration: 0:01:52
29,Primary DB1S1-configure.log 0,2023-01-10 10:41:34,2023-01-10 10:42:55,Duration: 0:01:21
30,Primary DB1S1-commissioning.log 0,2023-01-10 10:42:56,2023-01-10 11:28:55,Duration: 0:45:59
31,Primary Mop Apply 3,2023-01-10 11:31:15,2023-01-10 11:31:35,Duration: 0:00:20
32,Primary Upgrade 'DB1S1' post-check 0,2023-01-10 11:31:45,2023-01-10 11:32:35,Duration: 0:00:50
33,Primary Upgrade 'DB1S1' post-actions 0,2023-01-10 11:32:46,2023-01-10 11:37:10,Duration: 0:04:24
34,Primary Upgrade 'EM1S1' pre-check 0,2023-01-10 11:37:31,2023-01-10 11:38:35,Duration: 0:01:04
35,Primary Upgrade 'EM1S1' pre-actions 0,2023-01-10 11:38:46,2023-01-10 11:42:47,Duration: 0:04:01
36,Primary Get VNFR Logs 2,2023-01-10 11:44:24,2023-01-10 11:45:02,Duration: 0:00:38
37,Primary Create cloud-init ISO EM1S1 0,2023-01-10 11:45:33,2023-01-10 11:45:56,Duration: 0:00:23
