#FORMAT:
#Stage Name;file name;start task;end task
#
#
#Use <ServerName> for variables
# If you want to start from the beggining of a file (independent of taskname) please use FILE_START
#If you want to use the timestamp of the end of a file (independent of taskname) please use FILE_END

#*****************Migration Stages*****************
Create OMI Users; stackApiServer.log; Run playbook: /iac_main/iac/life-cycle-automation/common/playbooks/commissioning/create-vm-omi-users.yml; PLAY RECAP
Unreachable Vm List; main-migration-primary.log; Check if buffer/unreachableVmList is present; Create buffer/unreachableVmList with content
Checks alarms; main-migration-primary.log; pre-check-alarm.yml: Pre-Check for critical system alarms; Fail On Upgrade Critical Alarm using diff list created from the skip alarm list and last run
cleanup-replication-Check DB backup.tar.gz; main-migration-primary.log; cleanup-replication-backup-db.yml: Cleanup DB Replication. Create Pre DBS Migrate Backup; Check pre_DBS_migration_backup.tar.gz file
Get DB Backup and Transfer; main-migration-primary.log; TASK [Backup the DB]; TASK [Transfer DB backup from <ServerName> VM to remote server]
Switch NEs; main-migration-primary.log; switch-ne-to-secondary.yml: Login to OMI Pre-Switchover; key-exchange.yml: Get Primary DB keys
Convert DB-Migrate Oracle; main-migration-primary.log; primary-convert-db.yml: Convert Primary DB schema to new release formats; TASK [Transfer SQL dump files]
Fetch Key; main-migration-primary.log; fetch-key.yml: Fetch private key for backup restore; Check if bkrstr-full_id_rsa and bkrstr-all_id_rsa keys exist
Migration Fact; main-migration-primary.log; migration-facts.yml: Fetch vars used in migrate playbooks; Save AS MCP Load name for migration
Shutdown VMs; main-migration-primary.log; shutdown-vms.yml: Shutdown VMs. Wait for ping loss; to shutdown_vms list
Shutdown VMs VCD; main-migration-primary.log; Shutdown VMs on VCD; shutdown_vms list
Primary Hosts Patching; main-migration-primary.log; MIGRATE:PRIMARY:UPGRADE:PLE4; Print PLE 'upgraded to' version
Primary vm-disk-image-partition; main-migration-primary.log; vm-disk-image-partition.yml: Create Logical Volume for VM disk images; Restore dir + content to default SELinux context, if not Disabled
Primary VM Remove; main-migration-primary.log; main-migration-primary.yml: Delete VMs - Primary;MIGRATE:PRIMARY:RAF_DEPLOY
Secondary Hosts Patching; main-migration-secondary.log; MIGRATE:SECONDARY:UPGRADE:PLE4; Print PLE 'upgraded to' version
Secondary vm-disk-image-partition; main-migration-secondary.log; vm-disk-image-partition.yml: Create Logical Volume for VM disk images; Restore dir + content to default SELinux context, if not Disabled
Secondary VM Remove; main-migration-secondary.log; main-migration-secondary.yml: Delete VMs - Secondary;MIGRATE:SECONDARY:RAF_DEPLOY
Primary Migration; main-migration-primary.log; MIGRATE:PRIMARY:SETUP:PLE4; MIGRATE:PRIMARY:DONE
Secondary Migration; main-migration-secondary.log; MIGRATE:SECONDARY:SETUP:PLE4; MIGRATE:SECONDARY:DONE
Migration Duration Total; main-migration-secondary.log; MIGRATE:PRIMARY:SETUP:PLE4; MIGRATE:SECONDARY:DONE
Migrate DB; commissioning.log; Migrate DB; TASK [Run DB Install]
Primary Host Patching; main-migration-primary.log; ple4-host-upgrade.yml: Upgrade Primary Host - PLE4;vm-disk-image-partition.yml: Create Logical Volume for VM disk images
Secondary Host Patching; main-migration-secondary.log; ple4-host-upgrade.yml: Upgrade Primary Host - PLE4;vm-disk-image-partition.yml: Create Logical Volume for VM disk images


#****************Installation Stages***************
Installation Duration Total; stackApiServer.log; Schedule object <ServerName> create; Set object state to ready
Create RG VMs; stackApiServer.log; Run playbook: /iac_main/iac/life-cycle-automation/instantiate-terminate/kvm/createVm.yml; PLAY RECAP
Create Logical Volume For Image; stackApiServer.log; Run playbook: /iac_main/iac/life-cycle-automation/instantiate-terminate/kvm/createLogicalVolumeForImages.yml; PLAY RECAP
